issn_l,cr_year,n,h2020_n,prop
0003-2654,2019,912,12,0.013157894736842105
0947-8396,2020,908,1,0.0011013215859030838
1070-6631,2019,908,13,0.014317180616740088
1463-9262,2020,905,49,0.05414364640883978
0947-8396,2019,902,3,0.0033259423503325942
0007-0963,2020,898,0,0
0026-3672,2019,895,4,0.004469273743016759
0892-6638,2018,895,6,0.0067039106145251395
0023-852X,2020,894,0,0
1099-0690,2020,891,15,0.016835016835016835
0361-1981,2018,886,6,0.006772009029345372
2050-750X,2019,881,13,0.014755959137343927
1759-9660,2019,876,1,0.001141552511415525
1070-664X,2020,874,50,0.057208237986270026
0003-1348,2020,872,0,0
2044-4753,2020,869,16,0.018411967779056387
1614-6832,2020,867,22,0.025374855824682813
0929-6212,2019,862,1,0.001160092807424594
1614-6832,2018,858,24,0.027972027972027972
0930-2794,2020,856,0,0
0175-7598,2018,844,16,0.018957345971563982
0007-1048,2020,844,5,0.005924170616113744
0361-5235,2018,839,4,0.004767580452920143
0941-0643,2020,839,5,0.0059594755661501785
0361-1981,2019,838,4,0.00477326968973747
0947-8396,2018,837,8,0.009557945041816009
1759-9954,2019,835,23,0.027544910179640718
0886-0440,2020,832,0,0
1445-1433,2020,826,0,0
0929-6212,2018,825,1,0.0012121212121212121
1759-9660,2018,825,1,0.0012121212121212121
1674-1056,2019,824,0,0
1059-9495,2020,821,1,0.001218026796589525
0029-6651,2020,821,2,0.00243605359317905
1866-7511,2019,816,0,0
1068-9265,2019,815,0,0
1034-4810,2018,814,0,0
1866-7511,2018,813,0,0
0022-5142,2020,811,4,0.004932182490752158
1432-7643,2020,809,3,0.003708281829419036
0301-4851,2020,807,2,0.0024783147459727386
1614-6832,2019,804,22,0.02736318407960199
2191-4281,2020,804,0,0
1866-6280,2018,801,4,0.004993757802746567
2169-897X,2018,799,25,0.03128911138923655
1867-3880,2019,796,21,0.026381909547738693
2169-897X,2019,789,22,0.02788339670468948
0042-4900,2020,789,0,0
0960-8923,2020,788,0,0
0145-8892,2020,781,0,0
2042-6496,2019,779,2,0.0025673940949935813
1867-3880,2020,776,21,0.027061855670103094
1867-3880,2018,771,25,0.0324254215304799
0167-6369,2019,770,1,0.0012987012987012987
0021-9541,2020,770,2,0.0025974025974025974
1618-2642,2020,768,9,0.01171875
1463-9262,2019,766,30,0.0391644908616188
2196-7350,2020,765,28,0.036601307189542485
0884-8734,2019,763,1,0.001310615989515072
0361-1981,2020,762,5,0.006561679790026247
1759-9660,2020,761,6,0.00788436268068331
0003-2654,2018,761,10,0.013140604467805518
1618-2642,2019,758,22,0.029023746701846966
1866-6280,2019,755,1,0.0013245033112582781
0167-6369,2020,754,1,0.001326259946949602
0020-7136,2019,754,17,0.022546419098143235
1759-9954,2018,747,14,0.018741633199464525
0884-8734,2020,747,0,0
0028-646X,2020,747,29,0.038821954484605084
0175-7598,2019,744,11,0.01478494623655914
2044-4753,2019,744,20,0.026881720430107527
1864-5631,2020,744,22,0.02956989247311828
0969-0239,2019,742,8,0.01078167115902965
0167-6369,2018,742,2,0.0026954177897574125
0009-286X,2018,732,8,0.01092896174863388
0941-0643,2019,731,7,0.009575923392612859
0002-7820,2018,730,10,0.0136986301369863
0009-286X,2020,727,5,0.0068775790921595595
0003-4967,2020,725,9,0.012413793103448275
1059-9495,2018,721,6,0.008321775312066574
0175-7598,2020,721,13,0.018030513176144243
0937-4477,2020,719,0,0
0028-646X,2019,718,29,0.0403899721448468
0361-5235,2020,718,2,0.002785515320334262
2196-0216,2019,717,8,0.011157601115760111
0938-7994,2018,717,5,0.00697350069735007
2169-9313,2019,714,36,0.05042016806722689
1434-1948,2018,714,13,0.018207282913165267
0163-2116,2020,713,0,0
0236-5731,2018,712,2,0.0028089887640449437
2169-9380,2020,709,9,0.012693935119887164
2195-1071,2020,709,34,0.047954866008462625
2169-9380,2019,708,10,0.014124293785310734
0924-090X,2019,706,4,0.0056657223796034
1432-7643,2018,706,7,0.009915014164305949
0268-2605,2020,704,0,0
1618-2642,2018,704,10,0.014204545454545454
1748-0221,2018,704,67,0.09517045454545454
0924-090X,2018,703,4,0.005689900426742532
1059-9495,2019,702,2,0.002849002849002849
1475-7516,2020,697,104,0.1492109038737446
1522-1946,2020,696,0,0
2169-897X,2020,696,32,0.04597701149425287
1475-7516,2019,696,102,0.14655172413793102
2169-9380,2018,693,9,0.012987012987012988
1590-1874,2020,690,2,0.002898550724637681
1748-0221,2019,690,91,0.1318840579710145
2044-4753,2018,689,17,0.02467343976777939
0031-9228,2018,688,1,0.0014534883720930232
0960-8923,2019,687,1,0.001455604075691412
0363-907X,2019,686,4,0.0058309037900874635
0930-2794,2019,682,0,0
0022-1155,2019,681,0,0
1864-5631,2019,680,28,0.041176470588235294
2196-0216,2020,679,12,0.017673048600883652
1463-9262,2018,678,23,0.03392330383480826
2196-7350,2019,677,30,0.04431314623338257
0091-3286,2018,674,3,0.004451038575667656
0022-5142,2019,673,2,0.0029717682020802376
1047-4838,2019,672,3,0.004464285714285714
1070-6631,2018,671,5,0.007451564828614009
1475-7516,2018,671,104,0.15499254843517138
0301-4851,2019,670,0,0
0895-2477,2018,670,2,0.0029850746268656717
1545-5009,2020,669,0,0
2195-1071,2019,668,34,0.05089820359281437
0002-7820,2019,668,6,0.008982035928143712
0022-1155,2020,668,1,0.0014970059880239522
1434-1948,2019,667,12,0.017991004497751123
0319-485X,2020,666,0,0
0899-823X,2020,666,0,0
1368-9800,2020,665,3,0.004511278195488722
0941-4355,2020,664,1,0.0015060240963855422
0268-2605,2019,664,1,0.0015060240963855422
2196-7350,2018,661,18,0.02723146747352496
2169-9313,2020,661,41,0.06202723146747353
0926-9959,2019,660,2,0.0030303030303030303
2191-4281,2018,660,0,0
0924-090X,2020,658,3,0.004559270516717325
0278-0232,2019,658,0,0
2047-4830,2020,655,13,0.01984732824427481
0022-5142,2018,653,0,0
0008-543X,2020,652,0,0
0969-0239,2020,651,8,0.01228878648233487
2042-6496,2018,649,2,0.0030816640986132513
0043-1397,2020,649,14,0.02157164869029276
0170-4214,2019,648,3,0.004629629629629629
0094-2405,2020,647,6,0.00927357032457496
0770-3198,2020,646,1,0.0015479876160990713
2398-4902,2020,641,22,0.0343213728549142
1998-0000,2020,639,12,0.018779342723004695
0938-7994,2019,637,3,0.004709576138147566
1751-8113,2020,636,35,0.055031446540880505
1600-6135,2020,635,4,0.006299212598425197
2052-4110,2019,634,1,0.0015772870662460567
0031-9155,2018,633,13,0.020537124802527645
0002-8614,2020,630,1,0.0015873015873015873
0941-4355,2019,630,1,0.0015873015873015873
0008-543X,2019,629,0,0
0011-9059,2020,628,1,0.0015923566878980893
0023-852X,2018,627,0,0
1445-1433,2019,623,0,0
0023-852X,2019,623,1,0.0016051364365971107
2190-5444,2019,622,5,0.008038585209003215
1615-4150,2018,621,7,0.011272141706924315
1615-4150,2019,621,9,0.014492753623188406
0886-2605,2020,621,1,0.001610305958132045
2196-0216,2018,620,7,0.01129032258064516
0194-5998,2020,620,0,0
1473-2130,2020,620,0,0
1073-5623,2018,619,4,0.006462035541195477
2059-8521,2018,619,8,0.012924071082390954
0905-7161,2018,617,0,0
0020-7136,2020,615,12,0.01951219512195122
0020-7136,2018,614,5,0.008143322475570033
1046-1310,2020,613,1,0.0016313213703099511
0028-646X,2018,613,30,0.048939641109298535
1678-5878,2018,611,0,0
0340-5354,2020,610,11,0.018032786885245903
0043-1397,2019,609,19,0.031198686371100164
0236-5731,2019,608,2,0.003289473684210526
1678-5878,2019,608,0,0
0893-7648,2018,605,2,0.003305785123966942
0026-3672,2020,603,5,0.008291873963515755
0930-2794,2018,603,1,0.001658374792703151
2191-4281,2019,601,0,0
1882-0778,2019,601,4,0.0066555740432612314
0022-3751,2018,601,5,0.008319467554076539
0170-4214,2018,600,0,0
2169-9313,2018,600,32,0.05333333333333334
1861-471X,2019,600,6,0.01
0973-9793,2020,599,0,0
1076-9307,2020,599,2,0.00333889816360601
0094-2405,2019,598,11,0.01839464882943144
1120-6721,2020,597,1,0.0016750418760469012
0094-2405,2018,594,10,0.016835016835016835
0002-7820,2020,593,6,0.01011804384485666
0008-543X,2018,592,0,0
0921-030X,2020,591,5,0.008460236886632826
0954-4062,2020,590,1,0.001694915254237288
0941-0643,2018,589,1,0.001697792869269949
1355-557X,2020,589,0,0
0270-9139,2018,589,11,0.01867572156196944
0022-3751,2020,588,4,0.006802721088435374
0950-222X,2020,587,2,0.0034071550255536627
2052-4110,2018,586,0,0
1532-0626,2018,585,15,0.02564102564102564
1047-4838,2018,584,2,0.003424657534246575
0003-9888,2019,584,2,0.003424657534246575
2190-6815,2020,583,5,0.008576329331046312
0926-9959,2018,582,2,0.003436426116838488
0031-9228,2019,581,0,0
1068-9265,2018,580,0,0
0007-1048,2019,577,3,0.005199306759098787
0803-5253,2020,576,3,0.005208333333333333
0946-7076,2018,575,1,0.0017391304347826088
0950-9232,2018,573,9,0.015706806282722512
0049-6979,2020,573,3,0.005235602094240838
2195-1071,2018,573,23,0.04013961605584642
0319-485X,2019,571,0,0
0043-1397,2018,571,12,0.021015761821366025
0957-0233,2020,569,9,0.015817223198594025
0031-9155,2019,569,18,0.03163444639718805
1054-1500,2020,568,20,0.035211267605633804
1678-5878,2020,568,1,0.0017605633802816902
0091-3286,2019,567,2,0.003527336860670194
1522-1946,2019,567,0,0
0163-2116,2019,567,0,0
1864-5631,2018,566,15,0.026501766784452298
0270-9139,2019,564,8,0.014184397163120567
0941-4355,2018,563,2,0.003552397868561279
0031-8949,2019,560,2,0.0035714285714285713
1615-4150,2020,560,8,0.014285714285714285
0003-1348,2018,560,0,0
0012-1622,2018,560,4,0.007142857142857143
1099-0496,2020,560,0,0
0021-4922,2019,559,0,0
2190-5444,2018,557,2,0.003590664272890485
0960-8923,2018,557,0,0
1434-1948,2020,555,14,0.025225225225225224
0947-7047,2019,554,0,0
1861-471X,2018,553,6,0.0108499095840868
0969-0239,2018,551,5,0.009074410163339383
1445-1433,2018,549,0,0
1610-0379,2018,549,1,0.0018214936247723133
0031-3998,2020,548,1,0.0018248175182481751
0007-1048,2018,547,2,0.003656307129798903
0364-2313,2020,547,3,0.005484460694698354
1352-0504,2018,547,0,0
1034-4810,2020,547,0,0
0942-2056,2020,545,1,0.001834862385321101
0091-3286,2020,544,1,0.001838235294117647
1610-0379,2020,544,0,0
1439-4227,2020,543,29,0.053406998158379376
0031-9155,2020,542,21,0.03874538745387454
1552-4825,2020,538,2,0.0037174721189591076
1387-585X,2020,537,2,0.0037243947858473
0895-2477,2019,537,2,0.0037243947858473
0163-2116,2018,535,0,0
0306-5251,2020,534,3,0.0056179775280898875
1735-1472,2018,534,0,0
1462-8910,2020,533,0,0
0341-2695,2018,532,2,0.0037593984962406013
0022-1155,2018,532,0,0
1473-0189,2020,532,26,0.04887218045112782
2052-1545,2020,531,5,0.009416195856873822
2190-5738,2020,531,0,0
0026-3672,2018,531,0,0
1073-5623,2019,531,2,0.003766478342749529
1047-4838,2020,530,5,0.009433962264150943
1432-6981,2020,530,0,0
0964-1726,2019,529,8,0.015122873345935728
1354-1013,2020,527,39,0.07400379506641366
1998-0000,2018,527,5,0.009487666034155597
1470-0328,2020,526,6,0.011406844106463879
0895-2477,2020,525,0,0
0021-4922,2020,524,2,0.003816793893129771
1862-6300,2018,524,14,0.026717557251908396
0105-4538,2020,522,5,0.009578544061302681
1043-3074,2020,522,1,0.0019157088122605363
0007-1145,2020,522,1,0.0019157088122605363
2169-9275,2018,521,15,0.028790786948176585
0930-7575,2018,521,19,0.036468330134357005
0031-9228,2020,520,1,0.0019230769230769232
0022-3050,2018,520,9,0.01730769230769231
1545-5009,2018,520,0,0
1751-8113,2018,519,22,0.04238921001926782
0374-4884,2018,518,0,0
2052-4110,2020,517,2,0.0038684719535783366
2169-9275,2019,515,19,0.036893203883495145
0003-9888,2018,515,0,0
0962-1067,2018,514,0,0
0041-1132,2020,514,2,0.0038910505836575876
2169-9275,2020,512,17,0.033203125
0295-5075,2020,512,8,0.015625
0002-8614,2019,512,3,0.005859375
0256-7040,2020,511,0,0
0041-1132,2018,510,1,0.00196078431372549
0022-2488,2018,510,15,0.029411764705882353
0007-0920,2020,510,5,0.00980392156862745
0964-1726,2020,510,6,0.011764705882352941
0022-1147,2020,509,0,0
2047-4830,2019,509,8,0.015717092337917484
1075-122X,2019,508,0,0
1600-6135,2018,508,3,0.005905511811023622
0950-9232,2019,508,8,0.015748031496062992
1045-3873,2020,507,3,0.005917159763313609
1545-5009,2019,507,0,0
1862-6300,2019,506,9,0.017786561264822136
0167-6806,2020,506,0,0
0033-2917,2020,505,2,0.0039603960396039604
0269-2813,2019,505,3,0.005940594059405941
1522-1946,2018,505,0,0
0236-5731,2020,504,1,0.001984126984126984
0740-3194,2019,504,20,0.03968253968253968
0937-4477,2019,504,1,0.001984126984126984
1876-990X,2020,504,0,0
1351-5101,2020,503,4,0.007952286282306162
0385-2407,2020,502,0,0
1078-8956,2020,502,13,0.025896414342629483
1472-3891,2020,502,0,0
2366-0058,2020,501,0,0
0973-7707,2020,501,0,0
0957-0233,2018,500,8,0.016
1473-0189,2019,499,20,0.04008016032064128
0884-8734,2018,499,0,0
0942-2056,2018,499,0,0
0269-2813,2018,499,2,0.004008016032064128
1866-6280,2020,497,4,0.008048289738430584
1537-5927,2019,497,1,0.002012072434607646
1532-0626,2020,496,13,0.02620967741935484
0920-8542,2018,495,2,0.00404040404040404
0003-9888,2020,494,5,0.010121457489878543
1045-3873,2019,494,1,0.0020242914979757085
1935-7893,2020,493,0,0
0270-9139,2020,493,11,0.02231237322515213
0163-4984,2020,493,0,0
0930-7575,2019,492,26,0.052845528455284556
1073-5623,2020,491,3,0.006109979633401222
2366-0058,2019,490,0,0
1049-8923,2020,490,1,0.0020408163265306124
0942-2056,2019,489,0,0
0950-5423,2020,489,2,0.00408997955010225
0003-4967,2019,488,11,0.022540983606557378
0011-9059,2018,488,0,0
1868-5137,2018,488,8,0.01639344262295082
0145-8892,2019,487,0,0
0306-8919,2020,486,5,0.0102880658436214
0268-2605,2018,486,0,0
1861-471X,2020,486,1,0.00205761316872428
1537-5927,2020,485,2,0.004123711340206186
0003-1348,2019,485,0,0
1054-1500,2019,484,18,0.0371900826446281
0803-5253,2018,484,0,0
1047-9511,2020,484,0,0
1439-4235,2018,483,19,0.039337474120082816
0029-5515,2019,482,160,0.33195020746887965
0022-3050,2019,482,3,0.006224066390041493
0340-5354,2019,482,7,0.014522821576763486
1046-1310,2019,481,2,0.004158004158004158
0953-8585,2018,481,0,0
1617-7061,2019,481,1,0.002079002079002079
1444-0903,2018,481,0,0
1532-0626,2019,481,11,0.02286902286902287
1439-4227,2019,481,32,0.06652806652806653
2050-7038,2020,480,0,0
0295-5075,2018,480,12,0.025
2059-8521,2019,479,3,0.006263048016701462
0002-8614,2018,479,2,0.0041753653444676405
1526-498X,2020,479,5,0.010438413361169102
1054-1500,2018,479,7,0.014613778705636743
2192-2640,2020,477,26,0.05450733752620545
2190-5738,2019,477,0,0
0960-3182,2020,477,0,0
0957-0233,2019,477,6,0.012578616352201259
0032-079X,2019,475,5,0.010526315789473684
0041-1132,2019,474,1,0.002109704641350211
0020-7543,2018,474,7,0.014767932489451477
1865-1674,2020,474,11,0.023206751054852322
1742-464X,2020,473,20,0.042283298097251586
0162-3257,2019,472,6,0.012711864406779662
1470-0328,2018,472,0,0
1538-7836,2020,472,4,0.00847457627118644
0001-6268,2020,471,0,0
0363-5465,2019,471,1,0.0021231422505307855
0724-4983,2020,470,0,0
0932-0067,2020,470,0,0
1615-9306,2018,470,3,0.006382978723404255
1755-7380,2019,469,0,0
0770-3198,2019,469,0,0
0939-5555,2020,468,3,0.00641025641025641
2190-5738,2018,468,1,0.002136752136752137
0022-2488,2019,468,13,0.027777777777777776
0740-3194,2020,467,26,0.055674518201284794
1590-1874,2019,467,1,0.0021413276231263384
0002-1962,2020,466,1,0.002145922746781116
0272-8397,2020,465,1,0.002150537634408602
1619-7070,2020,464,6,0.01293103448275862
0947-7047,2020,464,0,0
0020-7543,2020,464,6,0.01293103448275862
1868-5137,2019,464,6,0.01293103448275862
1075-122X,2020,463,0,0
0885-3185,2020,463,1,0.0021598272138228943
0022-4790,2020,463,0,0
0953-8585,2019,461,1,0.0021691973969631237
0740-3194,2018,461,29,0.06290672451193059
0264-9381,2020,461,30,0.0650759219088937
1751-8113,2019,460,30,0.06521739130434782
0721-832X,2020,460,0,0
0031-3998,2019,460,0,0
1043-3074,2019,459,1,0.002178649237472767
1617-7061,2018,459,0,0
1432-6981,2018,459,1,0.002178649237472767
1473-0189,2018,459,9,0.0196078431372549
0342-4642,2018,458,3,0.006550218340611353
0886-2605,2018,458,0,0
0138-9130,2020,458,5,0.010917030567685589
0886-2605,2019,458,0,0
0022-1147,2019,457,0,0
0022-3751,2019,456,11,0.02412280701754386
0946-7076,2019,456,3,0.006578947368421052
0162-3257,2020,455,9,0.01978021978021978
0815-9319,2018,455,0,0
0319-485X,2018,455,0,0
0922-6168,2018,454,1,0.0022026431718061676
1755-7380,2020,454,0,0
1600-6135,2019,454,3,0.006607929515418502
0167-6806,2018,454,1,0.0022026431718061676
1462-8910,2018,451,0,0
0960-7412,2020,451,12,0.026607538802660754
1438-1656,2020,451,9,0.019955654101995565
0363-5465,2020,450,0,0
0364-216X,2020,449,0,0
2523-8973,2020,448,0,0
1462-2912,2020,448,26,0.05803571428571429
0025-729X,2018,448,0,0
1444-0903,2020,447,0,0
0924-669X,2020,447,1,0.0022371364653243847
0899-8418,2018,447,10,0.02237136465324385
0899-8418,2019,447,6,0.013422818791946308
2194-4288,2019,447,5,0.011185682326621925
0343-8651,2020,446,0,0
0364-2313,2018,446,1,0.002242152466367713
0003-4967,2018,445,9,0.020224719101123594
0932-0113,2018,445,0,0
0295-5075,2019,445,17,0.038202247191011236
1071-3581,2020,445,1,0.0022471910112359553
1548-7091,2018,444,28,0.06306306306306306
0724-4983,2019,444,0,0
1537-5927,2018,444,0,0
0145-8884,2020,444,0,0
0962-1083,2020,444,17,0.038288288288288286
0770-3198,2018,443,0,0
1615-9306,2020,443,1,0.002257336343115124
0364-2313,2019,443,0,0
0930-7575,2020,442,28,0.06334841628959276
0370-1972,2019,442,17,0.038461538461538464
0007-1161,2020,441,1,0.0022675736961451248
0950-9232,2020,441,7,0.015873015873015872
0884-1616,2019,441,6,0.013605442176870748
0256-7040,2019,441,0,0
1439-4227,2018,441,25,0.05668934240362812
2052-1545,2019,440,5,0.011363636363636364
0962-1067,2020,440,0,0
1083-7159,2019,440,2,0.004545454545454545
2162-8769,2020,439,3,0.00683371298405467
1355-6037,2020,438,1,0.00228310502283105
0953-816X,2020,437,15,0.034324942791762014
1557-1939,2018,437,2,0.004576659038901602
0019-5456,2020,437,0,0
0017-5749,2020,437,10,0.02288329519450801
1011-372X,2019,436,2,0.0045871559633027525
0007-0920,2018,436,14,0.03211009174311927
0724-4983,2018,436,0,0
0020-7543,2019,435,8,0.01839080459770115
0304-8608,2018,435,4,0.009195402298850575
1053-1807,2020,435,4,0.009195402298850575
0003-6846,2019,434,2,0.004608294930875576
1355-557X,2019,434,1,0.002304147465437788
0884-1616,2018,433,3,0.006928406466512702
0803-5253,2019,433,0,0
0264-9381,2018,433,36,0.08314087759815242
1735-1472,2019,432,1,0.0023148148148148147
0965-2140,2020,432,3,0.006944444444444444
1368-5031,2020,432,0,0
2199-160X,2019,431,12,0.027842227378190254
0363-5465,2018,431,0,0
0374-4884,2020,431,1,0.002320185614849188
0385-2407,2018,431,0,0
1552-4825,2019,430,0,0
1350-4851,2020,429,1,0.002331002331002331
0306-8919,2018,429,0,0
0306-0012,2018,429,29,0.0675990675990676
0385-2407,2019,428,0,0
0309-2402,2020,428,0,0
1071-3581,2019,428,1,0.002336448598130841
0342-4642,2020,427,5,0.0117096018735363
2059-8521,2020,427,12,0.02810304449648712
0194-5998,2018,427,1,0.00234192037470726
0022-2488,2020,426,13,0.03051643192488263
2367-198X,2020,426,14,0.03286384976525822
1099-047X,2019,424,1,0.0023584905660377358
0306-8919,2019,424,5,0.01179245283018868
1087-0156,2020,424,27,0.06367924528301887
2151-464X,2020,423,4,0.009456264775413711
2366-0058,2018,423,0,0
1078-8956,2019,423,27,0.06382978723404255
0039-7857,2020,423,14,0.03309692671394799
0167-6806,2019,423,1,0.002364066193853428
1742-464X,2019,422,14,0.03317535545023697
0950-222X,2019,422,0,0
1091-255X,2019,422,0,0
2365-709X,2020,421,11,0.026128266033254157
1053-1807,2019,421,8,0.019002375296912115
0964-1726,2018,420,11,0.02619047619047619
1439-4235,2019,420,19,0.04523809523809524
1882-0778,2020,420,3,0.007142857142857143
1420-682X,2019,419,11,0.026252983293556086
1526-498X,2019,418,9,0.0215311004784689
0341-2695,2020,418,1,0.0023923444976076554
1368-9800,2018,417,3,0.007194244604316547
