issn_l,cr_year,n,h2020_n,prop
0944-1344,2020,4327,14,0.0032354980355904783
0044-8249,2020,3908,239,0.06115660184237462
0028-0836,2019,3829,160,0.04178636719770175
1433-7851,2020,3780,255,0.06746031746031746
0028-0836,2018,3739,131,0.0350361059106713
1359-7345,2019,3739,104,0.027814923776410806
1359-7345,2020,3672,98,0.026688453159041396
0044-8249,2019,3506,228,0.06503137478608101
0028-0836,2020,3452,141,0.04084588644264195
0044-8249,2018,3409,201,0.058961572308594896
0944-1344,2019,3405,10,0.002936857562408223
1359-7345,2018,3373,92,0.027275422472576343
1463-9076,2018,3313,113,0.034108059160881374
1552-5260,2019,3279,6,0.0018298261665141812
1433-7851,2019,3224,244,0.07568238213399504
0001-4966,2019,3127,27,0.008634473936680525
0001-4966,2018,3055,13,0.00425531914893617
1433-7851,2018,3031,202,0.06664467172550313
1463-9076,2020,3005,144,0.04792013311148086
2050-7496,2019,2975,51,0.017142857142857144
1463-9076,2019,2900,119,0.04103448275862069
0944-1344,2018,2863,3,0.001047851903597625
2050-7496,2018,2791,44,0.015764958796130418
2040-3364,2018,2714,119,0.04384672070744289
0947-6539,2018,2638,104,0.039423805913570885
2040-3364,2019,2626,140,0.053313023610053314
2050-7496,2020,2608,55,0.021088957055214724
2040-3364,2020,2590,149,0.05752895752895753
0947-6539,2020,2487,159,0.06393244873341375
1144-0546,2020,2383,8,0.003357112882920688
1144-0546,2018,2355,7,0.0029723991507431
0003-6951,2018,2328,91,0.0390893470790378
1144-0546,2019,2267,11,0.004852227613586237
0947-6539,2019,2241,95,0.04239178937974119
0957-4522,2019,2188,9,0.004113345521023766
1616-301X,2020,2180,96,0.044036697247706424
1477-9226,2019,2155,49,0.022737819025522042
0021-8979,2020,2132,53,0.024859287054409006
0021-9606,2018,2122,94,0.04429783223374175
0021-8979,2018,2121,42,0.019801980198019802
0957-4522,2020,2116,3,0.0014177693761814746
0003-6951,2020,2114,104,0.04919583727530748
0021-9606,2019,2113,122,0.05773781353525793
1477-9226,2018,2102,38,0.01807802093244529
0021-9606,2020,2072,129,0.06225868725868726
0957-4522,2018,2072,4,0.0019305019305019305
0021-8979,2019,2057,52,0.025279533300923675
1477-9226,2020,2044,42,0.02054794520547945
2050-7526,2020,2030,48,0.023645320197044337
2365-6549,2019,2021,2,9.896091044037606e-4
0001-4966,2020,1968,22,0.011178861788617886
0935-9648,2018,1936,90,0.04648760330578512
0003-6951,2019,1931,91,0.047125841532884516
2365-6549,2018,1913,4,0.0020909566126502874
2365-6549,2020,1907,1,5.243838489774515e-4
2050-7526,2019,1867,43,0.023031601499732192
1616-301X,2019,1831,79,0.04314582195521573
1380-7501,2020,1711,12,0.0070134424313267095
2050-7526,2018,1700,41,0.02411764705882353
0268-3768,2018,1677,9,0.005366726296958855
0935-9648,2020,1674,90,0.053763440860215055
0303-6979,2018,1652,0,0
1616-301X,2018,1628,55,0.033783783783783786
0013-4651,2020,1627,27,0.016594960049170254
0268-3768,2020,1618,18,0.011124845488257108
0094-8276,2020,1614,103,0.06381660470879802
0935-9648,2019,1610,79,0.04906832298136646
0013-4651,2019,1598,20,0.012515644555694618
0268-3768,2019,1596,8,0.005012531328320802
0730-2312,2018,1591,1,6.285355122564425e-4
0094-8276,2019,1586,79,0.04981084489281211
0021-9541,2018,1555,0,0
0013-4651,2018,1536,21,0.013671875
0957-4484,2020,1519,44,0.028966425279789335
0094-8276,2018,1487,63,0.04236718224613315
1380-7501,2018,1485,7,0.0047138047138047135
1396-0296,2020,1483,0,0
0021-8995,2020,1453,0,0
0021-9541,2019,1412,1,7.08215297450425e-4
0007-0610,2020,1363,0,0
1613-6810,2019,1355,46,0.03394833948339483
1070-664X,2018,1351,58,0.04293116210214656
1613-6810,2020,1348,54,0.040059347181008904
0007-0963,2019,1345,3,0.0022304832713754648
1477-0520,2019,1340,18,0.013432835820895522
1380-7501,2019,1332,3,0.0022522522522522522
0021-4922,2018,1312,2,0.001524390243902439
0021-8995,2019,1312,6,0.004573170731707317
2053-2733,2019,1305,1,7.662835249042146e-4
0022-2461,2018,1300,7,0.005384615384615384
0022-2461,2020,1298,5,0.003852080123266564
1477-0520,2018,1285,7,0.005447470817120622
1866-7511,2020,1282,0,0
0957-4484,2018,1281,33,0.02576112412177986
0034-6748,2018,1277,88,0.06891151135473766
1744-683X,2020,1267,71,0.056037884767166535
0730-2312,2019,1261,0,0
0363-907X,2020,1260,10,0.007936507936507936
1070-6631,2020,1244,17,0.013665594855305467
0007-0963,2018,1243,4,0.003218020917135961
0960-7692,2018,1241,1,8.058017727639e-4
0022-3727,2018,1239,40,0.03228410008071025
0007-0610,2019,1230,2,0.0016260162601626016
1744-683X,2018,1212,53,0.04372937293729373
1388-6150,2020,1211,9,0.007431874483897605
1388-6150,2019,1205,5,0.004149377593360996
1744-683X,2019,1200,63,0.0525
2053-2733,2018,1200,3,0.0025
1613-6810,2018,1193,29,0.024308466051969825
0022-3727,2020,1179,28,0.02374893977947413
1477-0520,2020,1163,20,0.017196904557179708
0007-0610,2018,1142,0,0
0021-8995,2018,1128,8,0.0070921985815602835
2050-750X,2020,1127,22,0.019520851818988466
1323-7799,2018,1098,3,0.00273224043715847
1068-9265,2020,1096,1,9.124087591240876e-4
0957-4484,2019,1074,32,0.0297951582867784
0022-1120,2019,1070,25,0.02336448598130841
0146-6615,2020,1059,1,9.442870632672333e-4
1466-8033,2018,1051,11,0.010466222645099905
0022-3727,2019,1050,35,0.03333333333333333
0022-2461,2019,1046,4,0.0038240917782026767
1388-6150,2018,1045,3,0.0028708133971291866
1674-1056,2018,1042,3,0.0028790786948176585
1466-8033,2020,1041,9,0.008645533141210375
1748-0221,2020,1039,70,0.06737247353224254
0892-6638,2020,1024,7,0.0068359375
1868-5137,2020,1017,4,0.003933136676499509
0361-5235,2019,1010,4,0.0039603960396039604
1099-0690,2018,1007,19,0.018867924528301886
1466-8033,2019,997,10,0.010030090270812437
0170-4214,2020,992,6,0.006048387096774193
0022-1120,2020,985,39,0.03959390862944162
0892-6638,2019,982,10,0.010183299389002037
0034-6748,2019,978,51,0.05214723926380368
0003-2654,2020,978,17,0.017382413087934562
0938-7994,2020,975,4,0.0041025641025641026
0034-6748,2020,975,50,0.05128205128205128
0031-8949,2020,965,54,0.05595854922279793
0926-9959,2020,961,5,0.005202913631633715
2190-5444,2020,952,9,0.009453781512605041
1674-1056,2020,945,0,0
2042-6496,2020,941,3,0.003188097768331562
2050-750X,2018,940,13,0.013829787234042552
1759-9954,2020,940,23,0.02446808510638298
0022-1120,2018,935,19,0.020320855614973262
0929-6212,2020,934,1,0.0010706638115631692
0953-8984,2018,929,35,0.03767491926803014
1070-664X,2019,929,53,0.05705059203444564
0953-8984,2019,925,34,0.036756756756756756
1099-0690,2019,923,14,0.015167930660888408
0953-8984,2020,920,23,0.025
1432-7643,2019,912,4,0.0043859649122807015
